error_model,detection_outcome,avg_err,diff_vals_count
RANDOM_VALUE,TRUE_POSITIVE,1.58772428012672612875e+213,16
RANDOM_VALUE,TRUE_POSITIVE,3.49751028011975291150e+116,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.37993081708816550437e+51,8388608
RANDOM_VALUE,TRUE_POSITIVE,4.66392698681722953557e-05,65536
RANDOM_VALUE,TRUE_POSITIVE,1.77632947789159530496e+20,16384
RANDOM_VALUE,TRUE_POSITIVE,7.32294413156199525258e-06,1048576
RANDOM_VALUE,TRUE_POSITIVE,4.68353036617986367642e-08,5754069
RANDOM_VALUE,TRUE_POSITIVE,1.54874698950202052390e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.98584142704995808641e+117,262144
RANDOM_VALUE,TRUE_POSITIVE,6.14651922837548911397e+97,65536
RANDOM_VALUE,TRUE_POSITIVE,6.32304800309605167090e+134,1
RANDOM_VALUE,TRUE_POSITIVE,4.92564489607136081575e+92,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.41515464960460379831e+157,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.81912062950490903074e+204,1048576
RANDOM_VALUE,TRUE_POSITIVE,1.36589930843193025430e+128,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.44639876638312737947e+129,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.97894743297730830279e-07,262144
RANDOM_VALUE,TRUE_POSITIVE,5.06672716043472057149e-06,12268334
RANDOM_VALUE,TRUE_POSITIVE,1.29217641372137727318e+73,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.00702864975051198469e-05,16384
RANDOM_VALUE,TRUE_POSITIVE,6.69279123873566586185e+255,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.70752207406616248794e+208,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.25266957842681896960e+19,1024
RANDOM_VALUE,TRUE_POSITIVE,3.16797989214763578989e-05,12099118
RANDOM_VALUE,TRUE_POSITIVE,4.96327362700360231085e-05,524288
RANDOM_VALUE,TRUE_POSITIVE,1.58941462829681907581e+144,2
RANDOM_VALUE,TRUE_POSITIVE,1.73177990811373794003e-07,7817412
RANDOM_VALUE,TRUE_POSITIVE,2.69295378671285596608e+144,4096
RANDOM_VALUE,TRUE_POSITIVE,8.17103239385660098113e-05,131072
RANDOM_VALUE,TRUE_POSITIVE,6.63797286417011302298e+207,2048
RANDOM_VALUE,TRUE_POSITIVE,3.18470234149279086663e+146,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.28708772523211354663e+240,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.22976435957471568129e+255,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.02885161211266340509e-02,4
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1
RANDOM_VALUE,TRUE_POSITIVE,3.54305858108390886172e-08,8151842
RANDOM_VALUE,TRUE_POSITIVE,1.42288969178016006211e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.00080237984600817214e+00,2
RANDOM_VALUE,TRUE_POSITIVE,2.24676629071104576102e-06,3881424
RANDOM_VALUE,TRUE_POSITIVE,6.40483846499561614990e+10,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.42658684297564276944e+238,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.41505399752172532154e-08,7793763
RANDOM_VALUE,TRUE_POSITIVE,7.46631347334108662198e+216,2097152
RANDOM_VALUE,TRUE_POSITIVE,1.38968989823370845945e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.20314696275466417527e-03,256
RANDOM_VALUE,TRUE_POSITIVE,3.43479596751792643416e-05,1048576
RANDOM_VALUE,TRUE_POSITIVE,2.72590922305506321693e+202,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.44426300203993313313e+23,64
RANDOM_VALUE,TRUE_POSITIVE,2.35578857155497380536e+115,2
RANDOM_VALUE,TRUE_POSITIVE,1.01596326599570247680e+19,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.04947722926732076417e+79,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.35365139953612433879e-05,8388608
RANDOM_VALUE,TRUE_POSITIVE,5.49431204500621174815e+212,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.52004172118756524570e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.41413878304805538316e+142,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.24045599976255191222e+25,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.78261656246413166538e-04,128
RANDOM_VALUE,TRUE_POSITIVE,4.11434549195449986159e-03,8192
RANDOM_VALUE,TRUE_POSITIVE,5.21934038752204865271e+61,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.11894007892309487687e-04,16384
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1
RANDOM_VALUE,TRUE_POSITIVE,5.36472743085506910818e+70,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.41419864461388279861e+125,1
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1
RANDOM_VALUE,TRUE_POSITIVE,1.09557960215891698750e+201,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.07741817193098949668e-06,6801231
RANDOM_VALUE,TRUE_POSITIVE,5.15975198247869875000e+14,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.15829549222162910785e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.90266891882156459485e-07,2097152
RANDOM_VALUE,TRUE_POSITIVE,1.54577340178945695805e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.02039632466509001666e-07,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.11977688290679559241e+91,2048
RANDOM_VALUE,TRUE_POSITIVE,9.22803965762213968347e+24,1048576
RANDOM_VALUE,TRUE_POSITIVE,7.42716005313100513584e-06,3525015
RANDOM_VALUE,TRUE_POSITIVE,6.69370952525700088218e+183,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.46800977666949180288e-04,2048
RANDOM_VALUE,TRUE_POSITIVE,1.38066074059856394585e-03,32
