==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 1.58616166019027470704e+85; MIN: 1.43725802575646177452e+85; AVG: 1.51811012285095763568e+85
    * MAX: 3.77084037485344283821e+85; MIN: 1.00000000000000000000e+00; AVG: 5.81700786765434954075e+82
    * MAX: 1.69085846010196431358e+56; MIN: 1.47368454872397258217e+51; AVG: 2.58810420410173623008e+55
    * MAX: 5.84566830187549513198e-03; MIN: 5.67081420887505238682e-03; AVG: 5.77585718087145205679e-03
    * MAX: 3.07253730406964464805e-04; MIN: 1.11022302462515654042e-16; AVG: 3.36086568795283162028e-06
    * MAX: 1.21379756944373085048e-05; MIN: 6.45658440645568987293e-06; AVG: 8.36774195654120375362e-06
    * MAX: 1.06016472699810293534e-03; MIN: 1.11022302462515654042e-16; AVG: 1.73020984831085951425e-06
    * MAX: 2.26280102889193077017e+54; MIN: 1.39218384252544813805e+54; AVG: 1.73018480255839311382e+54
    * MAX: 1.43543988057140945227e+41; MIN: 5.04054688330731037135e+39; AVG: 4.23299937890647731447e+40
    * MAX: 1.74777904750067492046e-05; MIN: 5.90465317862332028653e-06; AVG: 9.85068304195891093929e-06
    * MAX: 1.28940281807210510578e-05; MIN: 7.02927091000837833690e-06; AVG: 8.95073558641096666123e-06
    * MAX: 1.72094660173970309120e+20; MIN: 2.49318932110318592000e+18; AVG: 7.47079869384185937920e+19
    * MAX: 4.58093243616009004882e-06; MIN: 1.13342624041834483251e-06; AVG: 2.31347391441461329670e-06
    * MAX: 5.34565984463214762889e+140; MIN: 5.80790406724364862910e+134; AVG: 1.04994785363774788856e+140
    * MAX: 1.32632675959183348844e+220; MIN: 1.58967636360710214850e+216; AVG: 2.66259402399157242219e+219
    * MAX: 3.30238350783620467453e+194; MIN: 2.27797857807745449246e+194; AVG: 2.61371224818796868587e+194
    * MAX: 1.92319151527353682241e-03; MIN: 1.39890312607482414364e-03; AVG: 1.63955377597547243690e-03
    * MAX: 2.69940807342550215253e-05; MIN: 4.91025278603895998231e-06; AVG: 1.42238108500475916629e-05
    * MAX: 3.93320240444866799678e+194; MIN: 4.69803270952682512845e+188; AVG: 5.61776879346855884781e+193
    * MAX: 1.23640032726003204615e+297; MIN: 1.00000000000000000000e+00; AVG: 1.10596795236757961742e+296
    * MAX: 4.54803547589310852572e-05; MIN: 2.72460104908667233303e-05; AVG: 3.36818640192803554138e-05
    * MAX: 5.55288800160314011123e-05; MIN: 2.07183090350504528487e-07; AVG: 1.19630249187794664341e-05
    * MAX: 5.51745224814241738197e+162; MIN: 2.14949648075268890394e+156; AVG: 8.35407371093381884870e+161
    * MAX: 1.64558547907089902651e-05; MIN: 1.08678035999343336471e-05; AVG: 1.32340733915655052325e-05
    * MAX: 1.24618819751826361340e+215; MIN: 1.13725533835622558341e+215; AVG: 1.18405070050871693290e+215
    * MAX: 4.60731590986476399987e+278; MIN: 4.37481450310010793314e+278; AVG: 4.49106520648243596651e+278
    * MAX: 5.71224494048971227275e+228; MIN: 2.19429486452603104682e+222; AVG: 8.63799991351350020665e+227
    * MAX: 3.21395985576122811267e-04; MIN: 1.11022302462515654042e-16; AVG: 2.75644029135978330743e-05
    * MAX: 4.66171142226023960120e-05; MIN: 2.56692961886351156409e-06; AVG: 2.01943513120905771832e-05
    * MAX: 7.35182944271883798137e-04; MIN: 1.11022302462515654042e-16; AVG: 1.85704111154929564310e-07
    * MAX: 1.29424870525984836434e-03; MIN: 9.58829669113203664210e-04; AVG: 1.10861683704506237130e-03
    * MAX: 5.15580157339767808367e-05; MIN: 1.04218430352354118895e-06; AVG: 1.91152032595228594917e-05
    * MAX: 2.31144609730282724058e-06; MIN: 1.26010123335795753974e-06; AVG: 1.60455232066517804710e-06
    * MAX: 1.13204718118197174927e+226; MIN: 9.38773378771028809667e+225; AVG: 1.03811946916152582663e+226
    * MAX: 7.46420199468911249596e-05; MIN: 3.98780939121490263233e-05; AVG: 5.14549741337892098023e-05
    * MAX: 3.13314838573663934085e-05; MIN: 1.72811492211710771016e-05; AVG: 2.17549054771451561767e-05
    * MAX: 9.15414202221681086596e+182; MIN: 2.41356982417579084323e+181; AVG: 2.43804881431023312870e+182
    * MAX: 6.67063645979629026468e+156; MIN: 3.54832868614684210556e+156; AVG: 4.59863868465481608626e+156
    * MAX: 7.14492763307372769077e-05; MIN: 4.09192673386238325861e-05; AVG: 5.26271886186722179322e-05
