==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 1.86962211046193260700e-07; MIN: 4.12649181491531180654e-09; AVG: 5.81703108942176888214e-08
    * MAX: 9.99760170529845448861e-01; MIN: 8.42730843134020801699e-04; AVG: 3.56813647458959160019e-01
    * MAX: 6.69573866937112072151e-05; MIN: 3.56168136859125183946e-05; AVG: 4.61594377880885327402e-05
    * MAX: 1.13840067302934500049e-01; MIN: 1.13840067302934500049e-01; AVG: 1.13840067302934500049e-01
    * MAX: 1.54177346877091218750e+14; MIN: 2.49450547841840484619e+11; AVG: 3.57219275481363750000e+13
    * MAX: 1.16870219613041115281e-07; MIN: 6.25718736824154575515e-08; AVG: 8.10948276820328683780e-08
    * MAX: 2.09887434016906624947e+72; MIN: 1.11645958743595750731e+72; AVG: 1.44693310647376749366e+72
    * MAX: 1.19467101389325591754e-06; MIN: 9.38566208752433794871e-07; AVG: 1.04665152690294749327e-06
    * MAX: 2.34749893924468544526e-04; MIN: 1.34442140781732000221e-04; AVG: 1.72909056329168415176e-04
    * MAX: 4.47877212961744763930e-03; MIN: 3.91106653972439488598e-03; AVG: 4.13411129739821477103e-03
    * MAX: 6.25904449824687958426e-07; MIN: 4.62204367668306304040e-07; AVG: 5.25008023551142358198e-07
    * MAX: 2.54582746975318130467e-04; MIN: 1.04531119626827262437e-06; AVG: 4.76444102329454799568e-05
    * MAX: 1.40877217066126547707e-04; MIN: 1.11022302462515654042e-16; AVG: 6.90649523820744932872e-07
    * MAX: 1.83140998237796281956e-05; MIN: 1.58432539557606943958e-05; AVG: 1.69314184555319213743e-05
    * MAX: 6.98416859679085177959e-07; MIN: 3.73929745389744994100e-07; AVG: 4.84633570153331385457e-07
    * MAX: 2.49382143899988806268e-02; MIN: 2.19371130999566066322e-02; AVG: 2.31341251878067477588e-02
    * MAX: 2.65527877353344265998e-05; MIN: 1.11022302462515654042e-16; AVG: 6.18656352228198177645e-08
    * MAX: 7.80641694364276182261e+34; MIN: 1.00000000000000000000e+00; AVG: 4.79813550858295351383e+32
    * MAX: 4.12108471247174534824e-05; MIN: 2.15684232696133904028e-08; AVG: 1.19272614518013263685e-05
    * MAX: 1.01787269380926304052e-05; MIN: 6.23170841962394916891e-06; AVG: 7.82348647395503143703e-06
    * MAX: 1.75764487653218282048e-05; MIN: 1.11022302462515654042e-16; AVG: 8.91271149432013867002e-09
    * MAX: 8.28392032170555125958e-06; MIN: 1.11022302462515654042e-16; AVG: 2.40770334243546721431e-10
    * MAX: 7.74518320464379073087e-05; MIN: 1.11022302462515654042e-16; AVG: 7.02072913495752599684e-08
    * MAX: 7.05587112848071740245e-07; MIN: 3.84655818752577260966e-07; AVG: 4.89543690482444151965e-07
    * MAX: 1.69004426754136157403e+306; MIN: 1.65885388859688625277e+306; AVG: 1.67444907806912391340e+306
    * MAX: 1.41500038419728468853e-06; MIN: 7.52684767735267712396e-07; AVG: 9.75480457531243143584e-07
    * MAX: 5.09956616769364767805e-02; MIN: 1.68787320255210371300e-02; AVG: 2.85152531238997905549e-02
    * MAX: 4.13554807354721276624e-06; MIN: 1.11794624446659440764e-07; AVG: 8.93358463440878726818e-07
    * MAX: 3.34358813625090789401e-06; MIN: 1.36583395771161519860e-06; AVG: 2.03757131356679738936e-06
    * MAX: 1.50193533907209654044e+74; MIN: 1.00000000000000000000e+00; AVG: 1.16976198081743497774e+71
    * MAX: 1.26090139107581933331e-06; MIN: 7.88455819744626751344e-07; AVG: 9.78828786522673407111e-07
    * MAX: 5.35596939554849882370e-06; MIN: 2.84901447755725456545e-06; AVG: 3.69232654254012679037e-06
    * MAX: 1.99404203451436501382e-05; MIN: 1.11022302462515654042e-16; AVG: 5.40222704365713374725e-07
    * MAX: 1.45868222021983129366e-03; MIN: 1.34561836359248232498e-03; AVG: 1.40066240550447071445e-03
    * MAX: 3.60202579161583713585e-05; MIN: 2.22524507854648945226e-05; AVG: 2.80411078572517330444e-05
    * MAX: 3.52058329156079707900e-06; MIN: 1.11904918498328953547e-06; AVG: 1.94338383501508673242e-06
    * MAX: 2.48245914317823945794e-04; MIN: 2.09832152529454418755e-04; AVG: 2.29634441036487974008e-04
    * MAX: 2.89007905829308242573e-07; MIN: 3.29285790856559401618e-08; AVG: 9.31283856411141610267e-08
    * MAX: 8.19671932550392057237e-08; MIN: 4.80819773995833088520e-08; AVG: 6.11898298495931001198e-08
    * MAX: 4.67225364713885760182e-04; MIN: 3.10003593569252444695e-04; AVG: 3.70174519875099482073e-04
    * MAX: 6.78123482107384489836e-05; MIN: 1.11022302462515654042e-16; AVG: 1.10149066391169651435e-09
    * MAX: 5.66251637357240156234e-07; MIN: 1.11022302462515654042e-16; AVG: 1.29612885224017683771e-10
    * MAX: 3.96159967209763763663e-05; MIN: 2.53395272303835739081e-05; AVG: 3.13132172861235250614e-05
    * MAX: 1.11652813953228955009e+73; MIN: 1.00000000000000000000e+00; AVG: 6.81598500645199208869e+70
    * MAX: 1.62070434045702427284e-03; MIN: 1.00881399045626984901e-03; AVG: 1.23421826977327493344e-03
    * MAX: 4.14051204844552156459e-02; MIN: 3.29797528973709841438e-02; AVG: 3.72175459908097652773e-02
    * MAX: 3.55090762127474590670e-07; MIN: 1.88884335949879300642e-07; AVG: 2.44794349912516598126e-07
    * MAX: 4.67866465838739920002e-04; MIN: 4.67866465838739920002e-04; AVG: 4.67866465838739920002e-04
    * MAX: 2.00690497154987212980e-04; MIN: 1.11022302462515654042e-16; AVG: 2.77892552505746857406e-06
    * MAX: 9.77451338801671454348e-06; MIN: 6.60956316733685156350e-06; AVG: 7.91016515001318246646e-06
    * MAX: 1.20374890233421183439e-06; MIN: 8.26128542463777648663e-07; AVG: 9.74786943216124834519e-07
    * MAX: 2.02528985526750915369e-06; MIN: 3.61354917099987460460e-08; AVG: 6.88693188615716221919e-07
    * MAX: 1.89669668371195143663e-05; MIN: 1.20945212533918322606e-05; AVG: 1.43836639339572382439e-05
    * MAX: 3.58931459115252593506e-04; MIN: 1.11022302462515654042e-16; AVG: 3.38042631421250703253e-07
    * MAX: 4.94118435853119208900e-03; MIN: 4.50425520333386231187e-03; AVG: 4.73664422049572403361e-03
    * MAX: 4.41325285058802307958e-05; MIN: 2.35781550068647760554e-05; AVG: 3.04230527837168165299e-05
    * MAX: 1.15792089237316195424e+77; MIN: 1.15792089237316195424e+77; AVG: 1.15792089237316195424e+77
    * MAX: 7.08289298265718514358e-05; MIN: 1.11022302462515654042e-16; AVG: 1.52762105007794654002e-08
    * MAX: 7.88221957259693795095e-06; MIN: 4.19280918517728196093e-06; AVG: 5.43388626642637406739e-06
    * MAX: 4.92144336553090866460e-04; MIN: 4.47848341194712062929e-04; AVG: 4.68994754783166878376e-04
    * MAX: 7.98537820423383948309e-06; MIN: 1.11022302462515654042e-16; AVG: 1.04050237340451881664e-10
    * MAX: 1.13369218499193014082e-03; MIN: 1.04009923497583312013e-03; AVG: 1.08069509595103141475e-03
    * MAX: 4.65704604236782948590e-04; MIN: 4.31740127275315188626e-04; AVG: 4.51886118226885180604e-04
    * MAX: 8.80792565742805066975e-05; MIN: 1.11022302462515654042e-16; AVG: 1.66286246615089918497e-07
    * MAX: 1.66865999586152113920e-04; MIN: 1.22839781373951240084e-04; AVG: 1.40407237866936216667e-04
    * MAX: 3.44988938629775532263e-05; MIN: 1.11022302462515654042e-16; AVG: 1.01498707795058997738e-09
    * MAX: 4.02772602298567816703e-01; MIN: 1.52445973881243368453e-02; AVG: 1.49755398224879876512e-01
    * MAX: 5.54560977938933774567e-06; MIN: 2.96909850328042068668e-06; AVG: 3.84811539014890561584e-06
    * MAX: 2.84670746548698616607e-05; MIN: 7.26436746312231207412e-07; AVG: 8.29794959556245974785e-06
    * MAX: 1.86689767283138019494e-02; MIN: 1.11813996016083549989e-02; AVG: 1.37920482593949199346e-02
    * MAX: 3.52900644617903935796e-05; MIN: 2.99210924231685382324e-05; AVG: 3.29805333205233225380e-05
    * MAX: 2.42515669346410334128e-05; MIN: 1.11022302462515654042e-16; AVG: 1.75643395701436649239e-07
    * MAX: 2.15388694388729540208e-03; MIN: 1.62997149895338644399e-03; AVG: 1.86903538058775468139e-03
    * MAX: 1.67992232320557377534e-05; MIN: 9.43447435419741964324e-06; AVG: 1.19719134836048742606e-05
    * MAX: 1.52200855303430415688e-05; MIN: 5.06111978548773322473e-07; AVG: 5.44675779522777519858e-06
    * MAX: 1.76125236381885486026e-05; MIN: 1.51330797351079127111e-05; AVG: 1.61826583310112348535e-05
    * MAX: 5.68731012647649691871e-04; MIN: 5.12071168153438449622e-04; AVG: 5.37926753943467755859e-04
    * MAX: 1.37722805499840283971e-04; MIN: 1.11022302462515654042e-16; AVG: 4.06438891410300005847e-09
    * MAX: 5.78451548105540780398e-07; MIN: 1.11022302462515654042e-16; AVG: 3.28911882305848421314e-10
    * MAX: 1.95046391725872680922e-02; MIN: 1.11022302462515654042e-16; AVG: 2.05272941433966769583e-05
    * MAX: 1.41590690311943490087e-04; MIN: 1.09512868237349181300e-04; AVG: 1.24889086396518943396e-04
    * MAX: 9.71557413631529698250e-07; MIN: 9.29973882124457418286e-07; AVG: 9.50765647877993558268e-07
    * MAX: 1.63101783439145719967e-04; MIN: 9.64226628850095579537e-05; AVG: 1.20582507439815202286e-04
    * MAX: 9.22627991604417552196e-01; MIN: 4.90775863590080629884e-01; AVG: 6.36046170303073421515e-01
    * MAX: 1.37224265300828207614e-04; MIN: 1.15418858520177636251e-04; AVG: 1.25213985346060707737e-04
    * MAX: 2.44784642755568881967e-06; MIN: 1.11022302462515654042e-16; AVG: 2.53161096787348954795e-09
    * MAX: 2.08682435842710845009e-06; MIN: 1.90096936214523282160e-06; AVG: 1.96922664982834838554e-06
    * MAX: 5.41326474712278127299e-06; MIN: 3.03536110579649687224e-06; AVG: 3.91684669415413427027e-06
    * MAX: 2.22507385850720138309e-308; MIN: 1.79769313486231570815e+308; AVG: 
    * MAX: 8.03245046572254040029e-05; MIN: 5.37220170524488338515e-05; AVG: 6.82164570298013589553e-05
    * MAX: 1.10436751854514625393e-07; MIN: 4.69973171490778440784e-10; AVG: 2.40566737023912783983e-08
    * MAX: 3.09310963395592608549e-05; MIN: 1.52677143150370397962e-08; AVG: 7.71075398153624869515e-06
    * MAX: 4.50325478196234030293e-06; MIN: 3.79400780392558090170e-06; AVG: 4.08091088496126408458e-06
    * MAX: 2.22507385850720138309e-308; MIN: 1.79769313486231570815e+308; AVG: 
    * MAX: 4.72891176163559023848e-04; MIN: 1.11022302462515654042e-16; AVG: 3.87739264444024063890e-06
    * MAX: 3.15068678835572768548e-06; MIN: 2.13393389669747080006e-06; AVG: 2.54708335094240090682e-06
    * MAX: 5.46109908334585937500e+13; MIN: 2.90493638082595937500e+13; AVG: 3.76480140340021640625e+13
    * MAX: 8.10590858069037967226e-03; MIN: 1.11022302462515654042e-16; AVG: 2.05404309856703016016e-03
    * MAX: 1.69891936108392667439e+152; MIN: 1.00000000000000000000e+00; AVG: 4.62317252957724005990e+147
    * MAX: 4.20743268079837307027e-03; MIN: 4.09264807903264582478e-03; AVG: 4.15258982609227611515e-03
    * MAX: 1.02770443549726753218e-03; MIN: 9.54940180885266443056e-04; AVG: 9.89728071825762834024e-04
    * MAX: 7.55650672412677693046e-05; MIN: 1.11022302462515654042e-16; AVG: 3.89924244736549532871e-08
    * MAX: 9.97711093868591802902e-05; MIN: 8.58169555704169084720e-05; AVG: 9.27222610340640990279e-05
    * MAX: 1.65801526068298787919e-03; MIN: 1.37997320869853723480e-03; AVG: 1.51076193985524029686e-03
    * MAX: 3.88277863194730343821e-08; MIN: 1.11022302462515654042e-16; AVG: 1.04717705501499606975e-09
    * MAX: 1.31257812618912339531e-07; MIN: 1.40248221924821336870e-08; AVG: 5.74499950402502413273e-08
    * MAX: 7.38991379802822478950e-05; MIN: 1.11022302462515654042e-16; AVG: 5.47951884030172198465e-07
    * MAX: 4.23034267560407073461e-06; MIN: 2.25025698208369817621e-06; AVG: 2.91633603404155881150e-06
    * MAX: 1.05957902718500918127e-06; MIN: 1.11022302462515654042e-16; AVG: 1.20580390373364219984e-10
    * MAX: 2.00663324156913347451e-04; MIN: 1.39969077678880893245e-04; AVG: 1.65188226411399236579e-04
    * MAX: 2.22413864167769759206e-04; MIN: 1.43653123236942015239e-04; AVG: 1.75196550034025563120e-04
    * MAX: 2.70663237356139063650e-06; MIN: 1.61141667376352160090e-06; AVG: 1.97047717065208493063e-06
    * MAX: 2.63176248661789458083e-04; MIN: 2.54925870334155035835e-04; AVG: 2.59826569933507833809e-04
    * MAX: 2.04626240324546031250e+14; MIN: 1.67952104981755340576e+11; AVG: 7.30525778583473906250e+13
    * MAX: 3.63763086319579542760e-08; MIN: 2.12313833181099198555e-09; AVG: 1.57435698491265117539e-08
    * MAX: 6.02937445249274466187e+06; MIN: 1.11022302462515654042e-16; AVG: 1.24301750565396878301e+03
    * MAX: 2.41884540663761526957e-06; MIN: 2.08662485678967613012e-06; AVG: 2.17416037988360510980e-06
    * MAX: 1.84963204987731444362e-05; MIN: 1.01822788536320985031e-05; AVG: 1.28471510279086790704e-05
    * MAX: 2.71247996410525171086e+05; MIN: 1.11022302462515654042e-16; AVG: 1.66912011199527455574e+03
    * MAX: 6.39127375113668350082e-03; MIN: 1.11022302462515654042e-16; AVG: 4.48675516541106867135e-05
    * MAX: 1.03420986921065605202e-03; MIN: 1.11022302462515654042e-16; AVG: 1.52311668394788816200e-08
    * MAX: 3.18785042252245354177e-04; MIN: 2.58267923799460064060e-04; AVG: 2.86950697666565803651e-04
    * MAX: 8.90044259618250066524e-05; MIN: 7.33545897886322961767e-05; AVG: 8.10194398384979710959e-05
    * MAX: 4.04129958386789667202e-08; MIN: 2.14969879674953290305e-08; AVG: 2.78601249731742708198e-08
    * MAX: 1.77545381063737295335e-07; MIN: 9.44421678639173478587e-08; AVG: 1.22397174956264995917e-07
> FALSE_NEGATIVE
    * MAX: 5.32907051820075139403e-15; MIN: 1.11022302462515654042e-16; AVG: 9.19310666939607630600e-16
    * MAX: 5.06983643955294382977e-09; MIN: 4.46109815754880401073e-12; AVG: 1.86899180215811000981e-09
    * MAX: 2.22044604925031308085e-15; MIN: 2.22044604925031308085e-16; AVG: 9.50820754549206814763e-16
