benchmark,error_model,detection_outcome,relative_sum
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,10.709935579275724
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.3594568425820394e+211
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.343043907893034e+153
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.1593748777167828e+247
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.74092382896867e+262
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.04115406448450653
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.2888245374974021
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,23.872127703169166
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.001604759692016
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.720652603156829
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.0745535837233987e+18
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.071137160736046e+245
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.18822358488886914
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.5657994233244214e+223
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,23.31512759568495
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.308005622465194
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,36.016446164360765
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.573316783158699e+209
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.044328321305557e+25
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.7115771431099485e+115
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.7045035161675356e+26
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1827060216249936e+87
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,197.4385895935993
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.217925995047099e+219
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,75.83371628537556
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.083417581717438e+149
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.11430462465123e+32
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.07401749199954089
