==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 6.52753053220767043285e-06; MIN: 1.11022302462515654042e-16; AVG: 3.85229769969685982785e-10
    * MAX: 1.04544359968983258113e-05; MIN: 9.05823038799269397714e-09; AVG: 3.80916297781083303228e-06
    * MAX: 1.43691604383544557777e-04; MIN: 8.03627444700971693692e-06; AVG: 6.33261749005886780085e-05
    * MAX: 5.24761593490019606634e-06; MIN: 3.02214937453193499550e-06; AVG: 3.91558773753712490145e-06
    * MAX: 1.66609697149766589064e-07; MIN: 1.11022302462515654042e-16; AVG: 4.40063835782959258474e-08
    * MAX: 3.51589308114401186737e+150; MIN: 1.42468357668493089113e+147; AVG: 7.57456628787702766379e+149
    * MAX: 8.68343737705776755055e+150; MIN: 3.52915810965603254546e+145; AVG: 1.60741614665142127720e+150
    * MAX: 1.29223397163291675582e-03; MIN: 9.62208519281415597391e-04; AVG: 1.10611835265772844202e-03
    * MAX: 6.65795178989014857507e-08; MIN: 3.54158129489690054470e-08; AVG: 4.58989406085946287610e-08
    * MAX: 1.56924313421535899238e-03; MIN: 1.11022302462515654042e-16; AVG: 4.81753016861614054778e-08
    * MAX: 1.01430084509246398738e-06; MIN: 1.00870441421818668459e-06; AVG: 1.01150262965532533599e-06
    * MAX: 1.53405180471910540518e-05; MIN: 3.52734680242328124677e-07; AVG: 2.88952932269419632364e-06
    * MAX: 4.37113560554092117627e-05; MIN: 2.89810179212590668385e-05; AVG: 3.56827978220130187818e-05
    * MAX: 1.57623921581695469740e-07; MIN: 1.11022302462515654042e-16; AVG: 1.46253368342003665088e-08
    * MAX: 8.12074101743975873546e-03; MIN: 7.74160071153906503838e-03; AVG: 7.93611408048154609585e-03
    * MAX: 1.60403178694812353910e-04; MIN: 9.55911453504043606699e-06; AVG: 6.79287069982393215467e-05
    * MAX: 1.90656558565696965246e-01; MIN: 1.90656558565696965246e-01; AVG: 1.90656558565696965246e-01
    * MAX: 1.79852434647541430368e+305; MIN: 1.41618770578530223391e+305; AVG: 1.57633157287486971117e+305
    * MAX: 1.66008662394467876311e-06; MIN: 8.88804100318552059434e-07; AVG: 1.15191396981164782237e-06
    * MAX: 9.69543920502191625133e-04; MIN: 7.23725101633099221488e-04; AVG: 8.31692949859029083057e-04
    * MAX: 1.71536590203302807822e-05; MIN: 1.04383806003305323884e-05; AVG: 1.29674466059489658484e-05
    * MAX: 1.84427909981188520305e-04; MIN: 1.23295972813908250032e-04; AVG: 1.41520942488746593159e-04
    * MAX: 1.92159916423406684771e-07; MIN: 4.33159379475966943573e-08; AVG: 9.43048320113452345169e-08
    * MAX: 1.65925094330887645810e-07; MIN: 5.94401616815787292580e-09; AVG: 3.62340069274426392459e-08
    * MAX: 7.71798364697185412103e+226; MIN: 4.18899056657008731039e+225; AVG: 3.26931826198773510249e+226
    * MAX: 1.06265230458923732549e+305; MIN: 1.00000000000000000000e+00; AVG: 
    * MAX: 7.14800134199444769934e-05; MIN: 4.26034346230341753881e-05; AVG: 5.27294466795578262099e-05
    * MAX: 6.08382830780129779669e-08; MIN: 1.11022302462515654042e-16; AVG: 1.70589202190025440630e-08
    * MAX: 1.09461992533873895025e+303; MIN: 6.40458901845056760892e+302; AVG: 
    * MAX: 3.77407983975786009978e-07; MIN: 2.53575715980502991442e-10; AVG: 8.08213469838016671598e-08
    * MAX: 2.53059237043107287946e-06; MIN: 5.13054132511570060160e-09; AVG: 6.02183406893299346103e-07
    * MAX: 8.83515300542647707971e-06; MIN: 2.65111580399768342886e-06; AVG: 4.76333586851927934735e-06
    * MAX: 5.18186867548564578101e-06; MIN: 3.00546141196456062517e-06; AVG: 3.85725774783601266921e-06
    * MAX: 1.30948469623248797689e-07; MIN: 2.79167708949756843140e-08; AVG: 6.32270359969070848723e-08
    * MAX: 3.79133542349752161726e-04; MIN: 1.11022302462515654042e-16; AVG: 7.09718513632874203419e-07
    * MAX: 1.17535555193470919733e-03; MIN: 1.11022302462515654042e-16; AVG: 6.33620480084592226952e-08
    * MAX: 2.47894508254020706772e-07; MIN: 1.11022302462515654042e-16; AVG: 4.21672226375112290911e-08
    * MAX: 6.19566648558045329764e-03; MIN: 6.19566648558045329764e-03; AVG: 6.19566648558045329764e-03
    * MAX: 1.14871156353690828666e-03; MIN: 1.11022302462515654042e-16; AVG: 2.60003373137653870678e-07
    * MAX: 3.88919251836927770682e-06; MIN: 1.11022302462515654042e-16; AVG: 9.91195719305846620413e-07
